-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	2	64619	85705	57402	|	0.93952	0.88831	0.66976	0.76371	|	0.93889	0.88251	0.66831	0.76061	|	[4] <= [7, 18], -iterate/-dimlex
4	3	81600	85705	59624	|	0.91818	0.73068	0.69568	0.71275	|	0.91647	0.71840	0.69208	0.70500	|	[4] <= [7, 18, 24], direct
4	3	64542	85705	58138	|	0.94216	0.90077	0.67835	0.77389	|	0.94157	0.89541	0.67704	0.77106	|	[4] <= [7, 18, 24], -iterate/-dimlex
4	4	72402	85705	57145	|	0.92540	0.78927	0.66676	0.72286	|	0.92430	0.78039	0.66424	0.71764	|	[4] <= [7, 18, 21, 27], direct
4	4	61658	85705	55456	|	0.93794	0.89941	0.64705	0.75264	|	0.93781	0.89822	0.64675	0.75202	|	[4] <= [7, 18, 21, 27], -iterate/-dimlex
4	3	68122	85705	54415	|	0.92339	0.79878	0.63491	0.70748	|	0.92234	0.78977	0.63227	0.70230	|	[4] <= [7, 18, 21], direct
4	3	54591	85705	51979	|	0.93813	0.95215	0.60648	0.74099	|	0.93767	0.94720	0.60524	0.73856	|	[4] <= [7, 18, 21], -iterate/-dimlex
4	4	71093	85705	56172	|	0.92431	0.79011	0.65541	0.71648	|	0.92323	0.78115	0.65283	0.71125	|	[4] <= [7, 18, 21, 24], direct
4	4	58505	85705	54575	|	0.94031	0.93282	0.63677	0.75688	|	0.93977	0.92739	0.63542	0.75413	|	[4] <= [7, 18, 21, 24], -iterate/-dimlex
4	5	73376	85705	57561	|	0.92516	0.78446	0.67161	0.72366	|	0.92398	0.77506	0.66895	0.71810	|	[4] <= [7, 15, 21, 24, 27], direct
4	5	61917	85705	56040	|	0.93949	0.90508	0.65387	0.75923	|	0.93943	0.90451	0.65372	0.75894	|	[4] <= [7, 15, 21, 24, 27], -iterate/-dimlex
4	4	81120	85705	59844	|	0.91975	0.73772	0.69825	0.71744	|	0.91794	0.72460	0.69446	0.70921	|	[4] <= [7, 15, 24, 27], direct
4	4	64961	85705	58358	|	0.94220	0.89835	0.68091	0.77466	|	0.94209	0.89741	0.68068	0.77417	|	[4] <= [7, 15, 24, 27], -iterate/-dimlex
4	3	81097	85705	59409	|	0.91830	0.73256	0.69318	0.71232	|	0.91610	0.71659	0.68847	0.70225	|	[4] <= [7, 15, 27], direct
